,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
0,M5DN Extra Large,m5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,16.0,150
1,M5A Double Extra Large,m5a.2xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.552,0.326,8,32.0,0
2,R5N 12xlarge,r5n.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,48,384.0,0
3,R5AD Extra Large,r5ad.xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.532,0.338,4,32.0,150
4,R5N Extra Large,r5n.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,32.0,0
5,I3EN 12xlarge,i3en.12xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,48,384.0,30000
6,I3EN Metal,i3en.metal,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,96,768.0,60000
7,R5DN Extra Large,r5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,32.0,150
8,I2 Extra Large,i2.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.0,0.0,4,30.5,800
9,M5N 16xlarge,m5n.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,64,256.0,0
10,T2 Micro,t2.micro,Intel Xeon Family,32/64-bit,sa-east-1,0.0186,0.0106,1                                                   for a                 2h 24m                 burst,1.0,0
11,D2 Eight Extra Large,d2.8xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,sa-east-1,0.0,0.0,36,244.0,48000
12,I3EN 3xlarge,i3en.3xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,12,96.0,7500
13,Z1D 3xlarge,z1d.3xlarge,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,12,96.0,450
14,X1E 16xlarge,x1e.16xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,0.0,0.0,64,1952.0,1920
15,R5N 24xlarge,r5n.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,96,768.0,0
16,I2 Eight Extra Large,i2.8xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.0,0.0,32,244.0,6400
17,R5A Eight Extra Large,r5a.8xlarge,AMD EPYC 7571,64-bit,sa-east-1,3.824,2.412,32,256.0,0
18,A1 Metal,a1.metal,AWS Graviton Processor,64-bit,sa-east-1,0.0,0.0,16,32.0,0
19,I2 Double Extra Large,i2.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.0,0.0,8,61.0,1600
20,I3EN Double Extra Large,i3en.2xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,8,64.0,5000
21,M5A Extra Large,m5a.xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.276,0.163,4,16.0,0
22,P3 Double Extra Large,p3.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,8,61.0,0
23,T2 Double Extra Large,t2.2xlarge,Intel Xeon Family,64-bit,sa-east-1,0.5952,0.338,8                                                   for a                 4h 4.8m                 burst,32.0,0
24,H1 Eight Extra Large,h1.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,32,128.0,8000
25,R5D 24xlarge,r5d.24xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,14.064,8.938,96,768.0,3600
26,I3EN 6xlarge,i3en.6xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,24,192.0,15000
27,R4 High-Memory Eight Extra Large,r4.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,4.48,2.8224,32,244.0,0
28,T2 Large,t2.large,Intel Xeon Family,64-bit,sa-east-1,0.1488,0.0845,2                                                   for a                 7h 12m                 burst,8.0,0
29,X1 Extra High-Memory 16xlarge,x1.16xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,13.005,8.014,64,976.0,1920
30,M5A 16xlarge,m5a.16xlarge,AMD EPYC 7571,64-bit,sa-east-1,4.416,2.606,64,256.0,0
31,R5 Metal,r5.metal,Intel Xeon Platinum 8175,64-bit,sa-east-1,12.768,8.044,96,768.0,0
32,R5A Large,r5a.large,AMD EPYC 7571,64-bit,sa-east-1,0.239,0.151,2,16.0,0
33,C3 High-CPU Large,c3.large,Intel Xeon E5-2680 v2 (Ivy Bridge),32/64-bit,sa-east-1,0.163,0.123,2,3.75,32
34,R5A 24xlarge,r5a.24xlarge,AMD EPYC 7571,64-bit,sa-east-1,11.472,7.237,96,768.0,0
35,G3 16xlarge,g3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,64,488.0,0
36,A1 Double Extra Large,a1.2xlarge,AWS Graviton Processor,64-bit,sa-east-1,0.0,0.0,8,16.0,0
37,C4 High-CPU Extra Large,c4.xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,sa-east-1,0.309,0.22,4,7.5,0
38,X1E Quadruple Extra Large,x1e.4xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,0.0,0.0,16,488.0,480
39,M5AD Extra Large,m5ad.xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.33,0.2,4,16.0,150
40,I3EN 24xlarge,i3en.24xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,96,768.0,60000
41,M4 General Purpose Large,m4.large,Intel Xeon E5-2676 v3 (Haswell),64-bit,sa-east-1,0.159,0.0903,2,8.0,0
42,H1 Quadruple Extra Large,h1.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,16,64.0,4000
43,X1E Extra Large,x1e.xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,0.0,0.0,4,122.0,120
44,G4DN Eight Extra Large,g4dn.8xlarge,Intel Xeon Family,64-bit,sa-east-1,3.698,2.524,32,128.0,900
45,R5N Large,r5n.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,2,16.0,0
46,R3 High-Memory Large,r3.large,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.35,0.267,2,15.25,32
47,R5N Double Extra Large,r5n.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,8,64.0,0
48,C4 High-CPU Large,c4.large,Intel Xeon E5-2666 v3 (Haswell),64-bit,sa-east-1,0.155,0.11,2,3.75,0
49,R5D Extra Large,r5d.xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.586,0.372,4,32.0,150
50,R5 Double Extra Large,r5.2xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,1.064,0.67,8,64.0,0
51,M3 General Purpose Double Extra Large,m3.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,sa-east-1,0.761,0.48,8,30.0,160
52,M5N 12xlarge,m5n.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,48,192.0,0
53,M4 General Purpose Deca Extra Large,m4.10xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,sa-east-1,3.18,1.806,40,160.0,0
54,M5AD Large,m5ad.large,AMD EPYC 7571,64-bit,sa-east-1,0.165,0.1,2,8.0,75
55,R5DN Eight Extra Large,r5dn.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,32,256.0,1200
56,R5N 16xlarge,r5n.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,64,512.0,0
57,R5D Metal,r5d.metal,Intel Xeon Platinum 8175,64-bit,sa-east-1,14.064,8.938,96,768.0,3600
58,X1 Extra High-Memory 32xlarge,x1.32xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,26.01,16.029,128,1952.0,3840
59,R5N Eight Extra Large,r5n.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,32,256.0,0
60,M5DN Large,m5dn.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,2,8.0,75
61,P3 16xlarge,p3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,64,488.0,0
62,M3 General Purpose Large,m3.large,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,sa-east-1,0.19,0.12,2,7.5,32
63,M5N Double Extra Large,m5n.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,8,32.0,0
64,R5 24xlarge,r5.24xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,12.768,8.044,96,768.0,0
65,M5DN 12xlarge,m5dn.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,48,192.0,1800
66,R5DN 16xlarge,r5dn.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,64,512.0,2400
67,R4 High-Memory Large,r4.large,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.28,0.1764,2,15.25,0
68,R3 High-Memory Extra Large,r3.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.7,0.534,4,30.5,80
69,X1E 32xlarge,x1e.32xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,0.0,0.0,128,3904.0,3840
70,M5A Quadruple Extra Large,m5a.4xlarge,AMD EPYC 7571,64-bit,sa-east-1,1.104,0.651,16,64.0,0
71,R5AD Double Extra Large,r5ad.2xlarge,AMD EPYC 7571,64-bit,sa-east-1,1.064,0.676,8,64.0,300
72,T2 Extra Large,t2.xlarge,Intel Xeon Family,64-bit,sa-east-1,0.2976,0.169,4                                                   for a                 5h 24m                 burst,16.0,0
73,General Purpose GPU 16xlarge,p2.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,64,768.0,0
74,M5DN 16xlarge,m5dn.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,64,256.0,2400
75,C3 High-CPU Eight Extra Large,c3.8xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,sa-east-1,2.6,1.968,32,60.0,640
76,M3 General Purpose Medium,m3.medium,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,sa-east-1,0.095,0.06,1,3.75,4
77,X1E Double Extra Large,x1e.2xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,0.0,0.0,8,244.0,240
78,M5DN 24xlarge,m5dn.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,96,384.0,3600
79,M5A Eight Extra Large,m5a.8xlarge,AMD EPYC 7571,64-bit,sa-east-1,2.208,1.303,32,128.0,0
80,M5AD Double Extra Large,m5ad.2xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.66,0.401,8,32.0,300
81,R5A Double Extra Large,r5a.2xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.956,0.603,8,64.0,0
82,M5A 12xlarge,m5a.12xlarge,AMD EPYC 7571,64-bit,sa-east-1,3.312,1.954,48,192.0,0
83,T2 Small,t2.small,Intel Xeon Family,32/64-bit,sa-east-1,0.0372,0.0211,1                                                   for a                 4h 48m                 burst,2.0,0
84,D2 Extra Large,d2.xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,sa-east-1,0.0,0.0,4,30.5,6000
85,G4DN 16xlarge,g4dn.16xlarge,Intel Xeon Family,64-bit,sa-east-1,7.397,5.048,64,256.0,900
86,T3 Medium,t3.medium,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,sa-east-1,0.0672,0.0386,2                                                   for a                 4h 48m                 burst,4.0,0
87,M1 General Purpose Extra Large,m1.xlarge,Intel Xeon Family,64-bit,sa-east-1,0.467,0.272,4,15.0,1680
88,M5N Extra Large,m5n.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,16.0,0
89,M3 General Purpose Extra Large,m3.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,sa-east-1,0.381,0.24,4,15.0,80
90,M1 General Purpose Medium,m1.medium,Intel Xeon Family,32/64-bit,sa-east-1,0.117,0.068,1,3.75,410
91,T3A Medium,t3a.medium,AMD EPYC 7571,64-bit,sa-east-1,0.0605,0.0347,2                                                   for a                 4h 48m                 burst,4.0,0
92,R4 High-Memory 16xlarge,r4.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,8.96,5.6448,64,488.0,0
93,G4DN Quadruple Extra Large,g4dn.4xlarge,Intel Xeon Family,64-bit,sa-east-1,2.046,1.397,16,64.0,225
94,I3 High I/O Extra Large,i3.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.572,0.391,4,30.5,950
95,Z1D Double Extra Large,z1d.2xlarge,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,8,64.0,300
96,C3 High-CPU Extra Large,c3.xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,sa-east-1,0.325,0.246,4,7.5,80
97,R5 Eight Extra Large,r5.8xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,4.256,2.681,32,256.0,0
98,C3 High-CPU Double Extra Large,c3.2xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,sa-east-1,0.65,0.492,8,15.0,160
99,R3 High-Memory Double Extra Large,r3.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,1.399,1.067,8,61.0,160
100,R4 High-Memory Double Extra Large,r4.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,1.12,0.7056,8,61.0,0
101,General Purpose GPU Eight Extra Large,p2.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,32,488.0,0
102,C4 High-CPU Eight Extra Large,c4.8xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,sa-east-1,2.47,1.764,36,60.0,0
103,D2 Double Extra Large,d2.2xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,sa-east-1,0.0,0.0,8,61.0,12000
104,D2 Quadruple Extra Large,d2.4xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,sa-east-1,0.0,0.0,16,122.0,24000
105,M5AD Quadruple Extra Large,m5ad.4xlarge,AMD EPYC 7571,64-bit,sa-east-1,1.32,0.802,16,64.0,600
106,M5DN Quadruple Extra Large,m5dn.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,16,64.0,600
107,R5 16xlarge,r5.16xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,8.512,5.363,64,512.0,0
108,M5N 24xlarge,m5n.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,96,384.0,0
109,M4 General Purpose Extra Large,m4.xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,sa-east-1,0.318,0.1806,4,16.0,0
110,R5A Quadruple Extra Large,r5a.4xlarge,AMD EPYC 7571,64-bit,sa-east-1,1.912,1.206,16,128.0,0
111,T3 Extra Large,t3.xlarge,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,sa-east-1,0.2688,0.1544,4                                                   for a                 9h 36m                 burst,16.0,0
112,Z1D 12xlarge,z1d.12xlarge,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,48,384.0,1800
113,M4 General Purpose 16xlarge,m4.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,5.088,2.8896,64,256.0,0
114,R5 12xlarge,r5.12xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,6.384,4.022,48,384.0,0
115,M4 General Purpose Quadruple Extra Large,m4.4xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,sa-east-1,1.272,0.7224,16,64.0,0
116,R4 High-Memory Extra Large,r4.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.56,0.3528,4,30.5,0
117,M1 General Purpose Small,m1.small,Intel Xeon Family,32/64-bit,sa-east-1,0.058,0.034,1,1.7,160
118,A1 Extra Large,a1.xlarge,AWS Graviton Processor,64-bit,sa-east-1,0.0,0.0,4,8.0,0
119,Z1D 6xlarge,z1d.6xlarge,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,24,192.0,900
120,R5D Quadruple Extra Large,r5d.4xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,2.344,1.49,16,128.0,600
121,M5DN Metal,m5dn.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,96,384.0,0
122,R5A 16xlarge,r5a.16xlarge,AMD EPYC 7571,64-bit,sa-east-1,7.648,4.825,64,512.0,0
123,M5N Large,m5n.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,2,8.0,0
124,M5DN Eight Extra Large,m5dn.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,32,128.0,1200
125,General Purpose GPU Extra Large,p2.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,4,61.0,0
126,C3 High-CPU Quadruple Extra Large,c3.4xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,sa-east-1,1.3,0.984,16,30.0,320
127,R4 High-Memory Quadruple Extra Large,r4.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,2.24,1.4112,16,122.0,0
128,R5A Extra Large,r5a.xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.478,0.302,4,32.0,0
129,M5N Quadruple Extra Large,m5n.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,16,64.0,0
130,H1 Double Extra Large,h1.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,8,32.0,2000
131,M5AD 24xlarge,m5ad.24xlarge,AMD EPYC 7571,64-bit,sa-east-1,7.92,4.809,96,384.0,3600
132,F1 Quadruple Extra Large,f1.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,16,244.0,940
133,I3EN Extra Large,i3en.xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,4,32.0,2500
134,R5A 12xlarge,r5a.12xlarge,AMD EPYC 7571,64-bit,sa-east-1,5.736,3.618,48,384.0,0
135,R5AD 24xlarge,r5ad.24xlarge,AMD EPYC 7571,64-bit,sa-east-1,12.768,8.114,96,768.0,3600
136,G2 Double Extra Large,g2.2xlarge,Intel Xeon E5-2670 (Sandy Bridge),64-bit,sa-east-1,0.0,0.0,8,15.0,60
137,C4 High-CPU Double Extra Large,c4.2xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,sa-east-1,0.618,0.441,8,15.0,0
138,X1E Eight Extra Large,x1e.8xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,sa-east-1,0.0,0.0,32,976.0,960
139,R5DN Large,r5dn.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,2,16.0,75
140,R5DN 12xlarge,r5dn.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,48,384.0,1800
141,R5N Quadruple Extra Large,r5n.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,16,128.0,0
142,H1 16xlarge,h1.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,64,256.0,16000
143,Z1D Extra Large,z1d.xlarge,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,4,32.0,150
144,R5DN Quadruple Extra Large,r5dn.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,16,128.0,600
145,R5D Eight Extra Large,r5d.8xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,4.688,2.979,32,256.0,1200
146,T3 Double Extra Large,t3.2xlarge,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,sa-east-1,0.5376,0.3088,8                                                   for a                 9h 36m                 burst,32.0,0
147,G3 Eight Extra Large,g3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,32,244.0,0
148,I3 High I/O Metal,i3.metal,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,72,512.0,15200
149,M4 General Purpose Double Extra Large,m4.2xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,sa-east-1,0.636,0.3612,8,32.0,0
150,Z1D Metal,z1d.metal,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,48,384.0,1800
151,G4DN 12xlarge,g4dn.12xlarge,Intel Xeon Family,64-bit,sa-east-1,6.649,4.538,48,192.0,900
152,R5AD Large,r5ad.large,AMD EPYC 7571,64-bit,sa-east-1,0.266,0.169,2,16.0,75
153,R5 Quadruple Extra Large,r5.4xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,2.128,1.341,16,128.0,0
154,R5D Double Extra Large,r5d.2xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,1.172,0.745,8,64.0,300
155,R5 Large,r5.large,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.266,0.168,2,16.0,0
156,I3 High I/O Large,i3.large,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.286,0.195,2,15.25,475
157,Z1D Large,z1d.large,Intel Xeon Platinum 8151,64-bit,sa-east-1,0.0,0.0,2,16.0,75
158,I3 High I/O 16xlarge,i3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,9.152,6.25,64,488.0,15200
159,M5AD 12xlarge,m5ad.12xlarge,AMD EPYC 7571,64-bit,sa-east-1,3.96,2.405,48,192.0,1800
160,I3EN Large,i3en.large,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,2,16.0,1250
161,C5N Metal,c5n.metal,Intel Xeon Platinum 8124M,64-bit,sa-east-1,0.0,0.0,72,192.0,0
162,I2 Quadruple Extra Large,i2.4xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.0,0.0,16,122.0,3200
163,M5DN Double Extra Large,m5dn.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,8,32.0,300
164,R5 Extra Large,r5.xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.532,0.335,4,32.0,0
165,I3 High I/O Double Extra Large,i3.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,1.144,0.781,8,61.0,1900
166,G4DN Extra Large,g4dn.xlarge,Intel Xeon Family,64-bit,sa-east-1,0.894,0.61,4,16.0,125
167,R5D Large,r5d.large,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.293,0.186,2,16.0,75
168,G3 Quadruple Extra Large,g3.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,16,122.0,0
169,R5DN 24xlarge,r5dn.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,96,768.0,3600
170,R5D 12xlarge,r5d.12xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,7.032,4.469,48,384.0,1800
171,R5DN Double Extra Large,r5dn.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,8,64.0,300
172,G2 Eight Extra Large,g2.8xlarge,Intel Xeon E5-2670 (Sandy Bridge),64-bit,sa-east-1,0.0,0.0,32,60.0,240
173,I3 High I/O Quadruple Extra Large,i3.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,2.288,1.562,16,122.0,3800
174,T3A Small,t3a.small,AMD EPYC 7571,64-bit,sa-east-1,0.0302,0.0174,2                                                   for a                 4h 48m                 burst,2.0,0
175,R3 High-Memory Quadruple Extra Large,r3.4xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,2.799,2.134,16,122.0,320
176,M1 General Purpose Large,m1.large,Intel Xeon Family,64-bit,sa-east-1,0.233,0.136,2,7.5,840
177,M2 High Memory Quadruple Extra Large,m2.4xlarge,Intel Xeon Family,64-bit,sa-east-1,1.291,0.516,8,68.4,1680
178,R3 High-Memory Eight Extra Large,r3.8xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,5.597,4.268,32,244.0,640
179,P3 Eight Extra Large,p3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,0.0,0.0,32,244.0,0
180,M2 High Memory Extra Large,m2.xlarge,Intel Xeon Family,64-bit,sa-east-1,0.323,0.129,2,17.1,420
181,C1 High-CPU Medium,c1.medium,Intel Xeon Family,32/64-bit,sa-east-1,0.179,0.13,2,1.7,350
182,Cluster Compute Eight Extra Large,cc2.8xlarge,Intel Xeon E5-2670,64-bit,sa-east-1,0.0,0.0,32,60.5,3360
183,T3A Double Extra Large,t3a.2xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.4838,0.2779,8                                                   for a                 9h 36m                 burst,32.0,0
184,C1 High-CPU Extra Large,c1.xlarge,Intel Xeon Family,64-bit,sa-east-1,0.718,0.52,8,7.0,1680
185,R5D 16xlarge,r5d.16xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,9.376,5.959,64,512.0,2400
186,G4DN Double Extra Large,g4dn.2xlarge,Intel Xeon Family,64-bit,sa-east-1,1.278,0.872,8,32.0,225
187,M2 High Memory Double Extra Large,m2.2xlarge,Intel Xeon Family,64-bit,sa-east-1,0.645,0.258,4,34.2,850
188,R5AD Quadruple Extra Large,r5ad.4xlarge,AMD EPYC 7571,64-bit,sa-east-1,2.128,1.352,16,128.0,600
189,T3A Nano,t3a.nano,AMD EPYC 7571,64-bit,sa-east-1,0.0076,0.0043,2                                                   for a                 1h 12m                 burst,0.5,0
190,M5N Metal,m5n.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,96,384.0,0
191,R5AD 12xlarge,r5ad.12xlarge,AMD EPYC 7571,64-bit,sa-east-1,6.384,4.057,48,384.0,1800
192,M5A Large,m5a.large,AMD EPYC 7571,64-bit,sa-east-1,0.138,0.081,2,8.0,0
193,I3 High I/O Eight Extra Large,i3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,sa-east-1,4.576,3.125,32,244.0,7600
194,High Memory Cluster Eight Extra Large,cr1.8xlarge,Intel Xeon E5-2670,64-bit,sa-east-1,0.0,0.0,32,244.0,240
195,M5N Eight Extra Large,m5n.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,32,128.0,0
196,M5A 24xlarge,m5a.24xlarge,AMD EPYC 7571,64-bit,sa-east-1,6.624,3.909,96,384.0,0
