,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
1959,R5 Eight Extra Large,r5.8xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,2.368,1.492,32,256.0,0
1960,C3 High-CPU Double Extra Large,c3.2xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,eu-west-2,0.0,0.0,8,15.0,160
1961,R3 High-Memory Double Extra Large,r3.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,eu-west-2,0.0,0.0,8,61.0,160
1962,R4 High-Memory Double Extra Large,r4.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.624,0.3948,8,61.0,0
1963,General Purpose GPU Eight Extra Large,p2.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,32,488.0,0
1964,C4 High-CPU Eight Extra Large,c4.8xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,eu-west-2,1.902,1.31,36,60.0,0
1965,D2 Double Extra Large,d2.2xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,eu-west-2,1.544,0.938,8,61.0,12000
1966,D2 Quadruple Extra Large,d2.4xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,eu-west-2,3.087,1.877,16,122.0,24000
1967,M5AD Quadruple Extra Large,m5ad.4xlarge,AMD EPYC 7571,64-bit,eu-west-2,0.96,0.672,16,64.0,600
1968,M5DN Quadruple Extra Large,m5dn.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,16,64.0,600
1969,R5 16xlarge,r5.16xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,4.736,2.984,64,512.0,0
1970,M5N 24xlarge,m5n.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,96,384.0,0
1971,M4 General Purpose Extra Large,m4.xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,eu-west-2,0.232,0.1575,4,16.0,0
1972,R5A Quadruple Extra Large,r5a.4xlarge,AMD EPYC 7571,64-bit,eu-west-2,1.064,0.673,16,128.0,0
1973,T3 Extra Large,t3.xlarge,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,eu-west-2,0.1888,0.1334,4                                                   for a                 9h 36m                 burst,16.0,0
1974,Z1D 12xlarge,z1d.12xlarge,Intel Xeon Platinum 8151,64-bit,eu-west-2,5.273,3.366,48,384.0,1800
1975,M4 General Purpose 16xlarge,m4.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,3.712,2.52,64,256.0,0
1976,R5 12xlarge,r5.12xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,3.552,2.238,48,384.0,0
1977,M4 General Purpose Quadruple Extra Large,m4.4xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,eu-west-2,0.928,0.63,16,64.0,0
1978,R4 High-Memory Extra Large,r4.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.312,0.1974,4,30.5,0
1979,M1 General Purpose Small,m1.small,Intel Xeon Family,32/64-bit,eu-west-2,0.0,0.0,1,1.7,160
1980,A1 Extra Large,a1.xlarge,AWS Graviton Processor,64-bit,eu-west-2,0.0,0.0,4,8.0,0
1981,Z1D 6xlarge,z1d.6xlarge,Intel Xeon Platinum 8151,64-bit,eu-west-2,2.636,1.683,24,192.0,900
1982,R5D Quadruple Extra Large,r5d.4xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,1.352,0.861,16,128.0,600
1983,M5DN Metal,m5dn.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,96,384.0,0
1984,R5A 16xlarge,r5a.16xlarge,AMD EPYC 7571,64-bit,eu-west-2,4.256,2.69,64,512.0,0
1985,M5N Large,m5n.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,2,8.0,0
